authorDisplayName;textDisplay;clean_comment;;
@anchannel2641;Bang bahas Adam Levine yg mau bundir gara2 loss banyak di saham;bang bahas adam levine yg mau bundir gara loss banyak di saham;;
@irfanbeema3725;Semoga turun ke 1500 aaagua mau serok nih saham;semoga turun ke aaagua mau serok nih saham;;
@tohaputra1382;Nunggu turun dulu..msh siap cash;nunggu turun dulumsh siap cash;;
@dddboxing6410;Bang Will.. UNTR donk;bang untr donk;;
@yusufabadi5817;Bahas saham kesayangan gw bang ADRO;bahas saham kesayangan gw bang adro;;
@user-ro3zl1kg6r;Bg bahas apa itu Rata² tertimbang. Soalnya untuk mencari Eps dan Dps tidak menggunakan Lembar saham melainkan Rata² tertimbang. Mohon dijelaskan bg?;bg bahas apa itu rata tertimbang soalnya untuk mencari eps dan dps tidak menggunakan lembar saham melainkan rata tertimbang mohon dijelaskan bg;;
@permanahyiamaan916;SIDO mau bagi dev interm ko malah turun 10% y 😅;sido mau bagi dev interm ko malah turun;;
@fitriadiansyah6205;Q3nya turun. Makanya roboh;qnya turun makanya roboh;;
@suaraaku;Bang minta tolong bahas HILL;bang minta tolong bahas hill;;
@pedrieklewi6361;Request kkgi jhon...;request kkgi jhon;;
@lutfifitriah8815;Hari ini baru masuk 1 lot ptba di 2600 mudah2an masih trn buat cicil😊;hari ini baru masuk lot ptba di mudahan masih trn buat cicil;;
@hendrylee2581;semoga turun gocap baru cicil;semoga turun gocap baru cicil;;
@lutfifitriah8815;@@hendrylee2581 klo gocap bangkrut dong😌;hendrylee klo gocap bangkrut dong;;
@rezasaefullah9681;​@@hendrylee2581apa coba;hendryleeapa coba;;
@cahyohandoyo3137;​@@lutfifitriah8815dikabulkan hari ini turun 2350, semoga besok turun jadi 2100;lutfifitriahdikabulkan hari ini turun semoga besok turun jadi;;
@nuryarifin8585;malesnya tuh gini&#39;; pembagian dy nya sethn sekali, jd pasti bantingannya dlm bangt&#39;" hahha mending Bssr , mCOL, gems, tau ITMG"",malesnya tuh gini klu ptba meskipun royal bagi deviden ko wilquot pembagian dy nya sethn sekali jd pasti bantingannya dlm bangt hahha mending bssr mcol gems tau itmg"
@handaru9936;Masih hold avg 4200,kadang berontak juga sih,tp ya sudah lah;masih hold avg kadang berontak juga sihtp ya sudah lah;;
@itz_heyletsgo421;Avg down aja;avg aja;;
@Ngobrolemiten;Untuk AVD di harga 1740 x 200 lot brp agar bisa jadi rata rata di 2.500 nya ya Jhon Will ?;untuk avd di harga x lot brp agar bisa jadi rata rata di nya ya jhon;;
@VirtualVoyager0406;makasi bang...;makasi bang;;
@user-ih4rr8jb3f;Makasih bang ilmunya saya masih pemula dalam pasar modal.portovolio masih merah😊😊;makasih bang ilmunya saya masih pemula dalam pasar modalportovolio masih merah;;
@donbhosup27;sama om..merah gak pp jgn dinliatin.  Fokus aja nambah lot  sama saham yg di rasa yakin profit. Sisane mau merah .item ijo..terserah;sama ommerah gak pp jgn dinliatin fokus aja nambah lot sama saham yg di rasa yakin profit sisane mau merah item ijoterserah;;
@yahya8948;Bang, bahas HRUM donk, thanks,,;bang bahas hrum donk thanks;;
@adiputrapangestu5920;Kenapa sekitar bulan desember harga batu bara roboh??;kenapa sekitar bulan desember harga batu bara roboh;;
@chickenforest3042;2840;;;
@asepigun;PTBA semoga jadi rejekiku;ptba semoga jadi rejekiku;;
@sucilestari470;Semoga dev minim 520;semoga dev minim;;
@jambujaya2131;Ini nih Q3 PTBA yg kita tunggu2.....;ini nih q ptba yg kita tunggu;;
@amabrian1632;Kalau ikuti chanel-nya koh Wil, selalu menenangkan. Mau floating los, floating profit tidak efek, selain perbanyak Lot demi cuan rupiah ngalir ke RDN.<br>Saham blue chip enaknya semakin roboh, semakin menggairahkan.<br>Serok habis tinggal tidur.😃😀;kalau ikuti chanelnya koh wil selalu menenangkan mau floating los floating profit tidak efek selain perbanyak lot demi cuan rupiah ngalir ke rdnbrsaham blue chip enaknya semakin roboh semakin menggairahkanbrserok habis tinggal tidur;;
@ThePietzpanca;Portofolio ptba merah ga usah kuatir ya bang? Tetep serok lagi kah?;portofolio ptba merah ga usah kuatir ya bang tetep serok lagi kah;;
